Dataset,Size,Dimension,Cardinality,ClId,Core_Point,Border_Point,Noise_Point,Reading_Time,kNN/rkNN_Time,Clustering_Time,Save_Time,Total_Time,Purity_Index,Rand_Index,DaviesBouldin_Index,Silhouette_Score
lacture,12,2,,2,8,4,0,0.0019910335540771484,0.0009992122650146484,0.0,0.003002643585205078,0.005992889404296875,1.0,0.5151515151515151,0.30755551343652904,0.7137552071442977
dim512,1024,512,16,27,209,815,0,0.38751864433288574,5.623621702194214,0.00099945068359375,0.08502554893493652,6.09716534614563,1.0,0.9935144031036168,2.1025054053623613,0.7086373231094794
complex9,3031,2,9,38,1753,1277,1,0.021001577377319336,4.127359867095947,0.004994630813598633,0.06484198570251465,4.21819806098938,1.0,0.8582142938807242,0.8153016225513374,0.20986925091450537
cluto_t7_10k,10000,2,10,61,5891,4077,32,0.07302641868591309,26.642743587493896,0.016004323959350586,0.2382338047027588,26.97000813484192,0.9181,0.8703740974097409,1.5622496053685513,-0.11856164137712048
letter,20000,16,26,2,11614,8386,0,0.2937324047088623,1673.9905741214752,0.05001115798950195,0.8763985633850098,1675.2107162475586,0.04255,0.04196524326216311,0.625089783483621,0.31976586371313215
