Dataset,Size,Dimension,Cardinality,ClId,Core_Point,Border_Point,Noise_Point,Reading_Time,FindingNN_Clustering_Time,Save_Time,Total_Time,Purity_Index,Rand_Index,DaviesBouldin_Index,Silhouette_Score
lacture,12,2,,2,5,3,4,0.0009915828704833984,0.0010013580322265625,0.002000570297241211,0.003993511199951172,1.0,0.2727272727272727,1.9059205966078105,0.3373547010839655
dim512,1024,512,16,16,1024,0,0,0.38803696632385254,18.526265382766724,0.0750277042388916,18.989330053329468,1.0,1.0,0.02046220212213004,0.9866904713610787
complex9,3031,2,9,49,2160,306,565,0.021001577377319336,53.54660606384277,0.011002302169799805,53.57860994338989,0.8927746618277796,0.9007588254701419,1.2584481183424645,-0.09012414672593487
cluto_t7_10k,10000,2,10,77,7065,793,2142,0.07402682304382324,638.7607033252716,0.03200936317443848,638.8667395114899,0.8256,0.902847704770477,2.696522671148647,-0.3083934060952391
letter,20000,16,26,16,156,0,19844,0.29273128509521484,3226.500893354416,0.20005249977111816,3226.993677139282,0.04845,0.052848702435121755,1.056648691868796,-0.30994649678035263
