Dataset,Size,Dimension,Cardinality,ClId,Core_Point,Border_Point,Noise_Point,Reading_Time,kNN/rkNN_Time,Clustering_Time,Save_Time,Total_Time,Purity_Index,Rand_Index,DaviesBouldin_Index,Silhouette_Score
lacture,12,2,,2,8,4,0,0.0009915828704833984,0.00400233268737793,0.0,0.012004375457763672,0.016998291015625,1.0,0.5151515151515151,0.30755551343652904,0.7137552071442977
dim512,1024,512,16,27,209,815,0,0.3875272274017334,18.716756343841553,0.0009868144989013672,0.08554720878601074,19.1908175945282,1.0,0.9935144031036168,2.1025054053623613,0.7086373231094794
complex9,3031,2,9,38,1753,1277,1,0.021001577377319336,54.118940591812134,0.0040988922119140625,0.05661463737487793,54.200655698776245,1.0,0.8582142938807242,0.8153016225513374,0.20986925091450537
cluto_t7_10k,10000,2,10,61,5891,4077,32,0.07402586936950684,604.7929930686951,0.016002416610717773,0.21455788612365723,605.097579240799,0.9181,0.8703740974097409,1.5622496053685513,-0.11856164137712048
letter,20000,16,26,57,9896,10098,6,0.2937321662902832,2469.462111711502,0.04501795768737793,0.8167893886566162,2470.6176512241364,0.27745,0.4423248462423121,1.2230427780167004,-0.1575833928087693
